timestamp,event_type,cycle_id,data,metadata
1755192522.1758103,T6_feedback,cycle_507_1755192522167,success:True,
1755192522.1869621,T5_command,cycle_507_1755192522167,arm_pose,
1755192522.1972299,T4a_wrist_tf,cycle_507_1755192522167,wrist,
1755192522.1996431,T1_image,cycle_508_1755192522199,640x480,
1755192522.2017894,T6_feedback,cycle_508_1755192522199,success:True,
1755192522.2301416,T4a_wrist_tf,cycle_508_1755192522199,wrist,
1755192522.2325225,T1_image,cycle_509_1755192522232,640x480,
1755192522.256658,T4a_wrist_tf,cycle_509_1755192522232,wrist,
1755192522.2663815,T1_image,cycle_510_1755192522266,640x480,
1755192522.295647,T4a_wrist_tf,cycle_510_1755192522266,wrist,
1755192522.3022847,T1_image,cycle_511_1755192522302,640x480,
1755192522.3273478,T4a_wrist_tf,cycle_511_1755192522302,wrist,
1755192522.3338597,T1_image,cycle_512_1755192522333,640x480,
1755192522.3543043,T5_command,cycle_512_1755192522333,gripper_close,
1755192522.35921,T4a_wrist_tf,cycle_512_1755192522333,wrist,
1755192522.3639348,T6_feedback,cycle_512_1755192522333,success:True,
1755192522.365538,T1_image,cycle_513_1755192522365,640x480,
1755192522.3820662,T5_command,cycle_513_1755192522365,arm_pose,
1755192522.3955183,T6_feedback,cycle_513_1755192522365,success:True,
1755192522.396573,T4a_wrist_tf,cycle_513_1755192522365,wrist,
1755192522.4012094,T1_image,cycle_514_1755192522401,640x480,
1755192522.427305,T4a_wrist_tf,cycle_514_1755192522401,wrist,
1755192522.438306,T1_image,cycle_515_1755192522438,640x480,
1755192522.4514835,T4a_wrist_tf,cycle_515_1755192522438,wrist,
1755192522.468794,T1_image,cycle_516_1755192522468,640x480,
1755192522.4944572,T4a_wrist_tf,cycle_516_1755192522468,wrist,
1755192522.4993813,T1_image,cycle_517_1755192522499,640x480,
1755192522.5271747,T4a_wrist_tf,cycle_517_1755192522499,wrist,
1755192522.5326302,T1_image,cycle_518_1755192522532,640x480,
1755192522.5616004,T4a_wrist_tf,cycle_518_1755192522532,wrist,
1755192522.5665507,T1_image,cycle_519_1755192522566,640x480,
1755192522.5774589,T5_command,cycle_519_1755192522566,gripper_close,
1755192522.5857272,T6_feedback,cycle_519_1755192522566,success:True,
1755192522.5977442,T5_command,cycle_519_1755192522566,arm_pose,
1755192522.602339,T4a_wrist_tf,cycle_519_1755192522566,wrist,
1755192522.6050406,T1_image,cycle_520_1755192522604,640x480,
1755192522.6089816,T6_feedback,cycle_520_1755192522604,success:True,
1755192522.628817,T4a_wrist_tf,cycle_520_1755192522604,wrist,
1755192522.633411,T1_image,cycle_521_1755192522633,640x480,
1755192522.6632226,T4a_wrist_tf,cycle_521_1755192522633,wrist,
1755192522.6704273,T1_image,cycle_522_1755192522670,640x480,
1755192522.6934614,T4a_wrist_tf,cycle_522_1755192522670,wrist,
1755192522.6998303,T1_image,cycle_523_1755192522699,640x480,
1755192522.7301116,T4a_wrist_tf,cycle_523_1755192522699,wrist,
1755192522.7344742,T1_image,cycle_524_1755192522734,640x480,
1755192522.7559118,T5_command,cycle_524_1755192522734,gripper_close,
1755192522.7638185,T6_feedback,cycle_524_1755192522734,success:True,
1755192522.7675235,T1_image,cycle_525_1755192522766,640x480,
1755192522.7710707,T4a_wrist_tf,cycle_524_1755192522734,wrist,
1755192522.7775958,T5_command,cycle_525_1755192522766,arm_pose,
1755192522.7855513,T6_feedback,cycle_525_1755192522766,success:True,
1755192522.8043284,T1_image,cycle_526_1755192522804,640x480,
1755192522.8100708,T4a_wrist_tf,cycle_525_1755192522766,wrist,
1755192522.8330991,T1_image,cycle_527_1755192522833,640x480,
1755192522.8356085,T4a_wrist_tf,cycle_526_1755192522804,wrist,
1755192522.8565664,T4a_wrist_tf,cycle_527_1755192522833,wrist,
1755192522.8843415,T1_image,cycle_528_1755192522868,640x480,
1755192522.9037845,T1_image,cycle_529_1755192522903,640x480,
1755192522.909825,T4a_wrist_tf,cycle_528_1755192522868,wrist,
1755192522.9335248,T4a_wrist_tf,cycle_529_1755192522903,wrist,
1755192522.93519,T1_image,cycle_530_1755192522935,640x480,
1755192522.9693809,T1_image,cycle_531_1755192522969,640x480,
1755192522.9730186,T4a_wrist_tf,cycle_530_1755192522935,wrist,
1755192522.999293,T5_command,cycle_531_1755192522969,gripper_close,
1755192523.0018384,T1_image,cycle_532_1755192523001,640x480,
1755192523.0082164,T4a_wrist_tf,cycle_531_1755192522969,wrist,
1755192523.009961,T6_feedback,cycle_532_1755192523001,success:True,
1755192523.019951,T5_command,cycle_532_1755192523001,arm_pose,
1755192523.0239887,T2_gesture,cycle_532_1755192523001,,
1755192523.0298533,T6_feedback,cycle_532_1755192523001,success:True,
1755192523.036107,T1_image,cycle_533_1755192523036,640x480,
1755192523.037184,T4a_wrist_tf,cycle_533_1755192523036,wrist,
1755192523.0668666,T1_image,cycle_534_1755192523066,640x480,
1755192523.0687468,T4a_wrist_tf,cycle_533_1755192523036,wrist,
1755192523.092899,T4a_wrist_tf,cycle_534_1755192523066,wrist,
1755192523.1018603,T1_image,cycle_535_1755192523101,640x480,
1755192523.1278162,T4a_wrist_tf,cycle_535_1755192523101,wrist,
1755192523.133566,T1_image,cycle_536_1755192523133,640x480,
1755192523.160648,T4a_wrist_tf,cycle_536_1755192523133,wrist,
1755192523.1755943,T1_image,cycle_537_1755192523175,640x480,
1755192523.196461,T5_command,cycle_537_1755192523175,gripper_open,
1755192523.2003412,T1_image,cycle_538_1755192523200,640x480,
1755192523.2026384,T4a_wrist_tf,cycle_537_1755192523175,wrist,
1755192523.21055,T6_feedback,cycle_538_1755192523200,success:True,
1755192523.2221153,T5_command,cycle_538_1755192523200,arm_pose,
1755192523.2388682,T1_image,cycle_539_1755192523238,640x480,
1755192523.2414336,T4a_wrist_tf,cycle_538_1755192523200,wrist,
1755192523.2589076,T4a_wrist_tf,cycle_539_1755192523238,wrist,
1755192523.2626548,T6_feedback,cycle_539_1755192523238,success:True,
1755192523.2670047,T1_image,cycle_540_1755192523266,640x480,
1755192523.2975228,T4a_wrist_tf,cycle_540_1755192523266,wrist,
1755192523.3017673,T1_image,cycle_541_1755192523301,640x480,
1755192523.3262165,T4a_wrist_tf,cycle_541_1755192523301,wrist,
1755192523.3326266,T1_image,cycle_542_1755192523332,640x480,
1755192523.3618035,T4a_wrist_tf,cycle_542_1755192523332,wrist,
1755192523.3663135,T1_image,cycle_543_1755192523366,640x480,
1755192523.3933697,T4a_wrist_tf,cycle_543_1755192523366,wrist,
1755192523.3993623,T1_image,cycle_544_1755192523399,640x480,
1755192523.427761,T5_command,cycle_544_1755192523399,gripper_open,
1755192523.4288151,T4a_wrist_tf,cycle_544_1755192523399,wrist,
